question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
How many apostles did Jesus choose during His earthly ministry?,10,11,12,13,3,2
Which city did God destroy along with Gomorrah in Genesis?,Sodom,Jericho,Nineveh,Babylon,1,3
Who built the ark before the flood?,Abraham,Moses,Noah,Jacob,3,3
"Which Gospel begins, 'In the beginning was the Word'?",Matthew,Mark,Luke,John,4,3
Who was the mother of Samuel?,Hannah,Miriam,Deborah,Elizabeth,1,3
Which prophet was swallowed by a great fish?,Jonah,Nahum,Habakkuk,Joel,1,3
What food did God provide for Israel in the wilderness?,Quail only,Manna,Figs,Lentils,2,3
Which book contains the Ten Commandments as first given at Sinai?,Genesis,Exodus,Joshua,Judges,2,4
Which apostle denied Jesus three times?,Peter,John,Thomas,Andrew,1,4
Which book immediately follows Obadiah in the Protestant Old Testament?,Amos,Jonah,Micah,Nahum,2,6
Who was Joshua's father?,Nun,Caleb,Eleazar,Hur,1,5
Which woman hid the Israelite spies in Jericho?,Ruth,Rahab,Deborah,Jael,2,4
Who was Moses' father-in-law?,Laban,Jethro,Boaz,Eleazar,2,5
Which tribe was set apart for priestly service in Israel?,Judah,Benjamin,Levi,Ephraim,3,4
Who was the first high priest of Israel?,Moses,Aaron,Joshua,Eleazar,2,5
Which king of Judah found the Book of the Law during temple repairs?,Hezekiah,Josiah,Manasseh,Uzziah,2,5
Which prophet confronted David after his sin with Bathsheba?,Elijah,Nathan,Samuel,Isaiah,2,4
Which queen visited Solomon to test him with hard questions?,Queen of Sheba,Queen Esther,Queen Vashti,Queen Athaliah,1,4
Who rebuilt Jerusalem's wall after the exile?,Ezra,Nehemiah,Daniel,Haggai,2,4
Which Babylonian king destroyed Jerusalem in 586 BC?,Cyrus,Nebuchadnezzar II,Darius I,Artaxerxes,2,6
Which Persian king issued a decree allowing Jews to return and rebuild the temple?,Cyrus,Xerxes,Darius III,Cambyses,1,5
Who led the first major return from exile and helped rebuild the temple?,Zerubbabel,Nehemiah,Ezra,Mordecai,1,6
Which prophet married Gomer?,Hosea,Joel,Amos,Micah,1,5
Which Old Testament book is shortest by number of chapters?,Obadiah,Haggai,Nahum,Joel,1,5
Which Bible chapter has the most verses?,Psalm 119,Genesis 1,Matthew 5,Luke 1,1,4
"Which psalm begins, 'The LORD is my shepherd'?",Psalm 1,Psalm 23,Psalm 51,Psalm 119,2,4
Which psalm is associated with David's repentance after his sin with Bathsheba?,Psalm 2,Psalm 22,Psalm 51,Psalm 91,3,5
"Which book begins, 'Vanity of vanities'?",Proverbs,Ecclesiastes,Job,Song of Solomon,2,5
"Which book contains the Shema: 'Hear, O Israel: The LORD our God, the LORD is one'?",Exodus,Leviticus,Numbers,Deuteronomy,4,5
Which Gospel begins with a genealogy from Abraham to Jesus?,Matthew,Mark,Luke,John,1,5
Which Gospel was written by a physician according to traditional attribution?,Matthew,Mark,Luke,John,3,5
Which Gospels contain infancy narratives of Jesus?,Matthew and Luke,Mark and John,Matthew and John,Luke and Mark,1,5
