question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who was the first man created by God?,Adam,Noah,Abraham,Jacob,1,1
What planet do we live on?,Mars,Earth,Venus,Jupiter,2,1
Who built a very large boat called an ark?,Moses,David,Noah,Solomon,3,1
What is the name of our nearest star?,Alpha Centauri,The Sun,Polaris,Sirius,2,1
Who was Jesus placed in a manger beside after He was born?,John,Mary,Peter,Moses,2,1
How many planets are in our solar system?,6,7,8,9,3,2
Who helped baby Moses by watching him in the river?,Miriam,Ruth,Esther,Martha,1,2
What is a scientist who studies space called?,Chef,Farmer,Astronomer,Artist,3,2
Who was the strongest man in the Bible?,Samuel,Samson,Saul,Stephen,2,2
What planet is famous for its Great Red Spot storm?,Saturn,Jupiter,Mercury,Earth,2,2
What did Jesus turn water into?,Milk,Honey,Juice,Wine,4,2
What is the name of the telescope launched in 2021 to study deep space?,Hubble,Kepler,James Webb,Voyager,3,4
Who was Jesus' cousin who baptized people?,John the Baptist,Peter,Thomas,Andrew,1,2
What is the force that keeps us on the ground?,Magnetism,Friction,Gravity,Wind,3,1
Who interpreted Pharaoh's dreams in Egypt?,Joseph,Moses,Daniel,Aaron,1,3
What is the smallest planet in our solar system?,Mercury,Venus,Mars,Neptune,1,3
Who climbed Mount Sinai to meet with God?,Joshua,Moses,Elijah,Isaiah,2,2
What is the name of the space station where astronauts live and work today?,Skylab,ISS,Mir,Apollo,2,3
Which disciple walked on water toward Jesus?,Peter,John,James,Matthew,1,2
What is the name of the red planet?,Venus,Mars,Saturn,Earth,2,1
Who was sold into slavery by his brothers?,Joseph,Isaac,Samuel,Ezra,1,2
What do astronauts experience when they float in orbit?,Heavy gravity,Weightlessness,Strong winds,Extreme pressure,2,3
