question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which church father translated the Bible into Latin in the Vulgate tradition?,Augustine,Jerome,Chrysostom,Origen,2,5
Which church father wrote The City of God?,Jerome,Augustine,Athanasius,Cyprian,2,5
Which church father was known as the 'Golden-Mouthed' preacher?,John Chrysostom,Ambrose,Clement,Polycarp,1,7
Which church father wrote On the Incarnation?,Athanasius,Basil,Origen,Irenaeus,1,7
Which church father was bishop of Hippo?,Jerome,Augustine,Athanasius,Clement,2,6
Which church father was a disciple of the apostle John according to early tradition?,Polycarp,Origen,Tertullian,Cyprian,1,7
Which church father was martyred in Smyrna?,Polycarp,Clement,Origen,Tertullian,1,7
Which church father is associated with the Hexapla?,Jerome,Origen,Eusebius,Cyril,2,8
Which church historian wrote Ecclesiastical History?,Eusebius,Irenaeus,Justin Martyr,Clement,1,7
Which apologist wrote First Apology?,Justin Martyr,Tertullian,Cyprian,Athanasius,1,7
"Which Latin theologian asked, 'What has Athens to do with Jerusalem?'",Tertullian,Augustine,Jerome,Ambrose,1,8
Which bishop of Milan was influential in Augustine's conversion?,Ambrose,Athanasius,Basil,Cyril,1,7
Which church father authored Confessions?,Augustine,Jerome,Origen,Ambrose,1,6
Which church father opposed Pelagius?,Athanasius,Augustine,Jerome,Ignatius,2,7
Which church father defended Nicene orthodoxy against Arianism?,Athanasius,Origen,Clement,Cyprian,1,7
Which early Christian writing begins with a greeting from the church of Rome to the church of Corinth?,1 Clement,The Didache,Shepherd of Hermas,Epistle of Barnabas,1,8
Which early Christian manual begins by describing the Two Ways?,The Didache,1 Clement,Against Heresies,On the Incarnation,1,8
Which church father wrote letters on the way to martyrdom in Rome around the early second century?,Ignatius of Antioch,Athanasius,Jerome,Augustine,1,8
Which council condemned Arius?,Chalcedon,Nicaea I,Ephesus,Orange,2,6
Which council affirmed the full deity of the Holy Spirit in the Nicene-Constantinopolitan Creed?,Nicaea I,Constantinople I,Ephesus,Orange,2,8
Which council condemned Nestorius?,Nicaea,Ephesus,Chalcedon,Constantinople II,2,8
Which council produced the Definition concerning Christ's two natures?,Nicaea,Ephesus,Chalcedon,Orange,3,8
Which council addressed Pelagianism and grace in the West?,Orange,Trent,Nicaea II,Lateran IV,1,8
